id,code_prefix_start,name
py_acc_group_5317,5.3.17,"IMPUESTOS, PATENTES, TASAS Y OTRAS CONTRIBUCIONES"
py_acc_group_5318,5.3.18,"MULTAS Y SANCIONES"
py_acc_group_54,5.4,"GASTOS BANCARIOS Y FINANCIEROS"
py_acc_group_5401,5.4.01,"INTERESES PAGADOS A ENTIDADES BANCARIAS Y FINANCIERAS"
py_acc_group_5402,5.4.02,"OTROS INTERESES PAGADOS"
py_acc_group_5403,5.4.03,"COMISIONES Y GASTOS BANCARIOS SOBRE OPERACIONES CREDITICIAS"
py_acc_group_5404,5.4.04,"RESULTADO POR DIFERENCIA DE CAMBIO"
py_acc_group_55,5.5,"DEPRECIACIONES Y AMORTIZACIONES DE ACTIVOS"
py_acc_group_5501,5.5.01,"DEPRECIACIONES DEL EJERCICIO"
py_acc_group_5502,5.5.02,"AMORTIZACIONES DEL EJERCICIO"
py_acc_group_6,6,"RESULTADOS"
py_acc_group_61,6.1,"GANANCIAS O PERDIDAS BRUTAS EN VENTAS"
py_acc_group_62,6.2,"GANANCIAS O PERDIDAS BRUTAS TOTALES"
py_acc_group_63,6.3,"GANANCIAS O PERDIDAS ANTES DE GASTOS FINANCIEROS"
py_acc_group_64,6.4,"GANANCIAS O PERDIDAS OPERATIVAS"
py_acc_group_65,6.5,"GANANCIAS O PERDIDAS ANTES DEL IMPUESTO A LA RENTA"
py_acc_group_66,6.6,"IMPUESTO A LA RENTA"
py_acc_group_699,6.99,"GANACIAS O PERDIDAS NETAS DEL EJERCICIO"
py_acc_group_9,9,"TRANSITORIAS"
py_acc_group_910101,9.1.01.01,"CUENTAS DE LIQUIDEZ"
